127.0.0.1 - - [06/Dec/2019:16:23:47 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:03 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:03 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:05 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:05 +0900] "GET /Rang/resources/images/destinationBG/place-1.jpg HTTP/1.1" 200 6219
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:05 +0900] "GET /Rang/resources/css/main.css HTTP/1.1" 200 15808
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:05 +0900] "GET /Rang/resources/css/bootstrap.css HTTP/1.1" 200 196760
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:05 +0900] "GET /Rang/resources/js/jquery-3.4.1.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:05 +0900] "GET /Rang/resources/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:05 +0900] "GET /Rang/resources/js/scroll.js HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:05 +0900] "GET /Rang/resources/images/destinationBG/place-4.jpg HTTP/1.1" 200 5916
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:05 +0900] "GET /Rang/resources/images/destinationBG/place-2.jpg HTTP/1.1" 200 6283
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:05 +0900] "GET /Rang/resources/images/destinationBG/place-3.jpg HTTP/1.1" 200 6401
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:05 +0900] "GET /Rang/resources/images/destinationBG/place-5.jpg HTTP/1.1" 200 6139
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:05 +0900] "GET /Rang/resources/images/destinationBG/place-10.jpg HTTP/1.1" 200 6188
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:05 +0900] "GET /Rang/resources/images/destinationBG/place-8.jpg HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:05 +0900] "GET /Rang/resources/images/destinationBG/place-6.jpg HTTP/1.1" 200 6577
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:05 +0900] "GET /Rang/resources/images/destinationBG/place-7.jpg HTTP/1.1" 200 6204
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:05 +0900] "GET /Rang/resources/images/destinationBG/place-9.jpg HTTP/1.1" 200 5944
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:05 +0900] "GET /Rang/resources/images/header2.jpg HTTP/1.1" 200 3281331
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:06 +0900] "GET /Rang/ HTTP/1.1" 200 10191
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:08 +0900] "GET /Rang/resources/css/login.css HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:08 +0900] "GET /Rang/views/login/login.jsp HTTP/1.1" 200 3613
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:10 +0900] "GET /Rang/views/signUp/signUp.jsp HTTP/1.1" 200 12554
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:10 +0900] "GET /Rang/resources/css/singUp.css HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:44 +0900] "POST /Rang/insert.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:44 +0900] "GET /Rang/index.jsp HTTP/1.1" 200 10191
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:44 +0900] "GET /Rang/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:44 +0900] "GET /Rang/resources/js/scroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:44 +0900] "GET /Rang/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:44 +0900] "GET /Rang/resources/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:44 +0900] "GET /Rang/resources/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:44 +0900] "GET /Rang/resources/images/destinationBG/place-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:44 +0900] "GET /Rang/resources/images/destinationBG/place-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:44 +0900] "GET /Rang/resources/images/destinationBG/place-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:24:44 +0900] "GET /Rang/resources/images/destinationBG/place-5.jpg HTTP/1.1" 304 -
